name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,star(s)
Chez TJ,2019,37.39468,-122.08044,South San Francisco,United States,94041,Contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj,1
Protégé,2019,37.427853,-122.14362,South San Francisco,United States,94301,Contemporary,$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege,1
Madera,2019,37.42014,-122.21151,San Francisco,United States,94025,Contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera,1
The Village Pub,2019,37.42897,-122.25178,San Francisco,United States,94062,Contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-village-pub,1
Plumed Horse,2019,37.25648,-122.03537,South San Francisco,United States,95070,Contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse,1
Wakuriya,2019,37.52114,-122.3366,San Francisco,United States,94402,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wakuriya,1
Sushi Yoshizumi,2019,37.565075,-122.3211,San Francisco,United States,94401,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sushi-yoshizumi,1
Rasa,2019,37.577522,-122.345985,San Francisco,United States,94010,Indian,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rasa,1
Maum,2019,37.72669,-122.414215,South San Francisco,United States,94101,Korean,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/maum,1
Al's Place,2019,37.748924,-122.42013,San Francisco,United States,94110,Californian,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/al-s-place,1
Aster,2019,37.755054,-122.423134,San Francisco,United States,94110,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/aster,1
Omakase,2019,37.77077,-122.40298,San Francisco,United States,94103,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/omakase,1
Commonwealth,2019,37.761395,-122.41946,San Francisco,United States,94110,Contemporary,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commonwealth,1
Luce,2019,37.78194,-122.40498,San Francisco,United States,94103,Contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/luce,1
Birdsong,2019,37.779495,-122.41048,San Francisco,United States,94101,American,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/birdsong,1
In Situ,2019,37.785633,-122.40113,San Francisco,United States,94103,International,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/in-situ,1
Mourad,2019,37.78695,-122.39987,San Francisco,United States,94105,Moroccan,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mourad,1
Hashiri,2019,37.783062,-122.40754,San Francisco,United States,94103,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/hashiri,1
Angler,2019,37.793167,-122.39213,San Francisco,United States,94101,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/angler,1
Rich Table,2019,37.774914,-122.42271,San Francisco,United States,94102,Contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rich-table,1
Kin Khao,2019,37.785267,-122.40951,San Francisco,United States,94102,Thai,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kin-khao,1
Michael Mina,2019,37.79349,-122.399574,San Francisco,United States,94102,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/michael-mina,1
Sons & Daughters,2019,37.79037,-122.40917,San Francisco,United States,94108,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sons-daughters,1
Mister Jiu's,2019,37.79371,-122.406654,San Francisco,United States,94108,Chinese,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mister-jius,1
Nico,2019,37.795803,-122.40333,San Francisco,United States,94101,Contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/nico,1
jū-ni,2019,37.77672,-122.43886,San Francisco,United States,94117,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/ju-ni,1
Keiko à Nob Hill,2019,37.793106,-122.41445,San Francisco,United States,94109,Fusion,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/keiko-a-nob-hill,1
The Progress,2019,37.78371,-122.43282,San Francisco,United States,94115,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-progress,1
State Bird Provisions,2019,37.783737,-122.43283,San Francisco,United States,94115,American,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/state-bird-provisions,1
